transmitted;node name;timestamp;message id;transmission success
transmitted;m3-49;1610708333214.642;22083;19
transmitted;m3-49;1610708379422.7048;26704;20
transmitted;m3-49;1610708411264.153;29888;15
transmitted;m3-49;1610708416092.538;30371;19
transmitted;m3-49;1610708444535.7039;33215;13
transmitted;m3-49;1610708495702.555;38332;9
transmitted;m3-49;1610708528653.014;41627;16
transmitted;m3-49;1610708560204.745;44782;20
transmitted;m3-49;1610708585154.009;47277;20
transmitted;m3-49;1610708619015.6592;50663;18
transmitted;m3-49;1610708634685.149;52230;23
transmitted;m3-49;1610708660334.216;54795;19
transmitted;m3-49;1610708686484.18;57410;18
transmitted;m3-49;1610708726754.638;61437;13
transmitted;m3-49;1610708750504.049;63812;18
transmitted;m3-49;1610708773756.595;66137;20
transmitted;m3-49;1610708815124.702;70274;17
transmitted;m3-49;1610708841244.864;72886;16
transmitted;m3-49;1610708891406.214;77902;13
transmitted;m3-49;1610708894854.991;78247;15
transmitted;m3-49;1610708936924.7961;82454;17
transmitted;m3-49;1610708978764.738;86638;16
transmitted;m3-49;1610708982734.5;87035;17
transmitted;m3-49;1610709027216.9321;91483;18
transmitted;m3-49;1610709055905.3062;94352;17
transmitted;m3-49;1610709073315.585;96093;13
transmitted;m3-49;1610709131495.6318;101911;11
transmitted;m3-49;1610709143035.97;103065;16
transmitted;m3-49;1610709183298.037;107091;18
transmitted;m3-49;1610709212866.3098;110048;14
transmitted;m3-49;1610709243288.096;113090;18
transmitted;m3-49;1610709259886.294;114750;20
transmitted;m3-49;1610709308387.0188;119600;19
transmitted;m3-49;1610709338348.3428;122596;17
transmitted;m3-49;1610709371026.777;125864;19
transmitted;m3-49;1610709372716.91;126033;17
transmitted;m3-49;1610709417926.909;130554;15
transmitted;m3-49;1610709450767.313;133838;18
transmitted;m3-49;1610709487197.8928;137481;18
transmitted;m3-49;1610709508287.782;139590;18
transmitted;m3-49;1610709528567.6091;141618;14
transmitted;m3-49;1610709563657.1592;145127;18
transmitted;m3-49;1610709611109.101;149872;15
transmitted;m3-49;1610709635547.67;152316;15
transmitted;m3-49;1610709647528.3909;153514;19
transmitted;m3-49;1610709680639.666;156825;27
transmitted;m3-49;1610709705308.816;159292;18
transmitted;m3-49;1610709733398.4011;162101;13
transmitted;m3-49;1610709775478.185;166309;11
transmitted;m3-49;1610709809828.737;169744;15
transmitted;m3-49;1610709835719.019;172333;15
transmitted;m3-49;1610709855389.322;174300;19
transmitted;m3-49;1610709904718.72;179233;19
transmitted;m3-59;1610708150241.528;3784;11
transmitted;m3-59;1610708182720.727;7032;17
transmitted;m3-59;1610708212771.6821;10037;20
transmitted;m3-59;1610708246011.516;13361;16
transmitted;m3-59;1610708287991.985;17559;15
transmitted;m3-59;1610708303501.144;19110;15
transmitted;m3-59;1610708348923.592;23652;17
transmitted;m3-59;1610708369251.504;25685;21
transmitted;m3-59;1610708395022.218;28262;17
transmitted;m3-59;1610708432062.253;31966;16
transmitted;m3-59;1610708457362.163;34496;20
transmitted;m3-59;1610708477042.775;36464;20
transmitted;m3-59;1610708523993.1182;41159;14
transmitted;m3-59;1610708546333.7542;43393;17
transmitted;m3-59;1610708580473.474;46807;15
transmitted;m3-59;1610708604212.952;49181;12
transmitted;m3-59;1610708651643.313;53924;18
transmitted;m3-59;1610708674083.4229;56168;14
transmitted;m3-59;1610708690893.431;57849;15
transmitted;m3-59;1610708718924.9922;60652;10
transmitted;m3-59;1610708769383.811;65698;19
transmitted;m3-59;1610708785584.563;67318;16
transmitted;m3-59;1610708828874.1008;71647;16
transmitted;m3-59;1610708854174.85;74177;17
transmitted;m3-59;1610708882455.427;77005;20
transmitted;m3-59;1610708910804.89;79840;18
transmitted;m3-59;1610708942834.966;83043;12
transmitted;m3-59;1610708958064.959;84566;16
transmitted;m3-59;1610709001485.951;88908;13
transmitted;m3-59;1610709022407.707;91000;14
transmitted;m3-59;1610709062365.4622;94996;15
transmitted;m3-59;1610709074415.656;96201;19
transmitted;m3-59;1610709127726.3179;101532;19
transmitted;m3-59;1610709136728.238;102432;18
transmitted;m3-59;1610709164136.188;105173;17
transmitted;m3-59;1610709206766.348;109436;14
transmitted;m3-59;1610709236586.575;112418;15
transmitted;m3-59;1610709272876.981;116047;18
transmitted;m3-59;1610709283249.277;117084;14
transmitted;m3-59;1610709330247.659;121784;14
transmitted;m3-59;1610709357207.3892;124480;21
transmitted;m3-59;1610709393409.6191;128100;19
transmitted;m3-59;1610709420658.735;130825;20
transmitted;m3-59;1610709451239.195;133883;16
transmitted;m3-59;1610709491499.8118;137909;16
transmitted;m3-59;1610709510949.97;139854;17
transmitted;m3-59;1610709536138.697;142373;18
transmitted;m3-59;1610709563630.1401;145122;18
transmitted;m3-59;1610709586668.4849;147426;33
transmitted;m3-59;1610709628341.544;151593;18
